ID	probeset_id	ORF	synonym	pid	description	"	probe.id"
eco_gcs1_t01281	eco0513	sfmH	b0533	16128517	"predicted	fimbrial-like	adhesin	protein	"	"eco_gcs1_t01281;eco_gcs1_t01283;eco_gcs1_t01278;eco_gcs1_t01282;eco_gcs1_t01279;eco_gcs1_t01280															"
eco_gcs1_t03605	eco1343	feaB	b1385	90111264	"phenylacetaldehyde	dehydrogenase	"	"eco_gcs1_t03605;eco_gcs1_t03606;eco_gcs1_t03604																	"
eco_gcs1_t09734	eco3569	cbrA	b3690	90111640	"predicted	oxidoreductase	with	FAD/NAD(P)-binding	domain	"	"eco_gcs1_t09734;eco_gcs1_t09736;eco_gcs1_t09735;eco_gcs1_t09737														"
eco_gcs1_t11217	eco4154	fimB	b4312	16132133	"tyrosine	recombinase/inversion	of	on/off	regulator	of	fimA	"	"eco_gcs1_t11217;eco_gcs1_t11216;eco_gcs1_t11214;eco_gcs1_t11215												"
eco_gcs1_t00921	eco0380	sbcC	b0397	16128382	"exonuclease,	dsDNA,	ATP-dependent	"	"eco_gcs1_t00921;eco_gcs1_t00917;eco_gcs1_t00920;eco_gcs1_t00916;eco_gcs1_t00918;eco_gcs1_t00919																"
eco_gcs1_t10458	eco3838	htrC	b3989	16131819	"heat	shock	protein	"	"eco_gcs1_t10458;eco_gcs1_t10456;eco_gcs1_t10459;eco_gcs1_t10457																"
eco_gcs1_t07171	eco2587	nrdE	b2675	16130589	"ribonucleotide-diphosphate	reductase	alpha	subunit	"	"eco_gcs1_t07171;eco_gcs1_t07172;eco_gcs1_t07170;eco_gcs1_t07174;eco_gcs1_t07173;eco_gcs1_t07168;eco_gcs1_t07167;eco_gcs1_t07169															"
eco_gcs1_t03240	eco1217	trpB	b1261	16129222	"tryptophan	synthase	subunit	beta	"	"eco_gcs1_t03240;eco_gcs1_t03241															"
eco_gcs1_t09671	eco3540	yicS	b4555	94541128	"hypothetical	protein	"	"eco_gcs1_t09671;eco_gcs1_t09669;eco_gcs1_t09670																	"
eco_gcs1_t01986	eco0768	fiu	b0805	16128773	"predicted	iron	outer	membrane	transporter	"	"eco_gcs1_t01986;eco_gcs1_t01985;eco_gcs1_t01982;eco_gcs1_t01983;eco_gcs1_t01984														"
eco_gcs1_t06305	eco2268	yfcX	b2341	16130274	"fused	enoyl-CoA	hydratase	and	epimerase	and	isomerase/3-hydroxyacyl-CoA	dehydrogenase	"	"eco_gcs1_t06305;eco_gcs1_t06304;eco_gcs1_t06303;eco_gcs1_t06309;eco_gcs1_t06302;eco_gcs1_t06307;eco_gcs1_t06306;eco_gcs1_t06308											"
eco_gcs1_t07143	eco2572	ygaF	b2660	90111477	"predicted	enzyme	"	"eco_gcs1_t07143																	"
eco_gcs1_t03742	eco1384	tehB	b1430	16129389	"predicted	S-adenosyl-L-methionine-dependent	methyltransferase	"	"eco_gcs1_t03742;eco_gcs1_t03743;eco_gcs1_t03745;eco_gcs1_t03744																"
eco_gcs1_t05819	eco2086	yeiE	b2157	16130095	"predicted	DNA-binding	transcriptional	regulator	"	"eco_gcs1_t05819;eco_gcs1_t05820;eco_gcs1_t05818															"
eco_gcs1_t04004	eco1458	ydeT	b1505	16129464	"hypothetical	protein	"	"eco_gcs1_t04004;eco_gcs1_t04001;eco_gcs1_t04003;eco_gcs1_t04002;eco_gcs1_t04000																	"
eco_gcs1_t03670	eco1366	ynbC	b1410	16129371	"predicted	hydrolase	"	"eco_gcs1_t03670;eco_gcs1_t03676;eco_gcs1_t03674;eco_gcs1_t03671;eco_gcs1_t03672;eco_gcs1_t03673;eco_gcs1_t03675																	"
eco_gcs1_t05705	eco2045	yehI	b2118	16130056	"hypothetical	protein	"	"eco_gcs1_t05705;eco_gcs1_t05702;eco_gcs1_t05703;eco_gcs1_t05709;eco_gcs1_t05711;eco_gcs1_t05714;eco_gcs1_t05704;eco_gcs1_t05707;eco_gcs1_t05710;eco_gcs1_t05706;eco_gcs1_t05708;eco_gcs1_t05713;eco_gcs1_t05712																	"
eco_gcs1_t02177	eco0846	infA	b0884	16128851	"translation	initiation	factor	IF-1	"	"eco_gcs1_t02177															"
eco_gcs1_t03658	eco1363	ydbD	b1407	90111266	"hypothetical	protein	"	"eco_gcs1_t03658;eco_gcs1_t03654;eco_gcs1_t03660;eco_gcs1_t03656;eco_gcs1_t03657;eco_gcs1_t03655;eco_gcs1_t03652;eco_gcs1_t03659;eco_gcs1_t03653																	"
eco_gcs1_t07402	eco2684	ygcG	b2778	90111490	"hypothetical	protein	"	"eco_gcs1_t07402;eco_gcs1_t07400;eco_gcs1_t07398;eco_gcs1_t07399;eco_gcs1_t07401																	"
eco_gcs1_t11482	eco0225	prfH	b0236	16128222	"peptide	chain	release	factor	2	"	"eco_gcs1_t11482														"
eco_gcs1_t05351	eco1925	erfK	b1990	16129931	"conserved	protein	with	NAD(P)-binding	Rossmann-fold	domain	"	"eco_gcs1_t05351;eco_gcs1_t05350;eco_gcs1_t05349													"
eco_gcs1_t10210	eco3741	yihT	b3881	16131721	"predicted	aldolase	"	"eco_gcs1_t10210;eco_gcs1_t10211																	"
eco_gcs1_t11261	eco4167	yjiC	b4325	49176489	"hypothetical	protein	"	"eco_gcs1_t11261;eco_gcs1_t11259;eco_gcs1_t11260;eco_gcs1_t11262;eco_gcs1_t11258;eco_gcs1_t11263																	"
eco_gcs1_t06014	eco2156	yfaA	b2230	90111405	"hypothetical	protein	"	"eco_gcs1_t06014;eco_gcs1_t06016;eco_gcs1_t06017;eco_gcs1_t06012;eco_gcs1_t06013;eco_gcs1_t06015																	"
eco_gcs1_t04766	eco1726	ydjK	b1775	16129729	"predicted	transporter	"	"eco_gcs1_t04766;eco_gcs1_t04764;eco_gcs1_t04767;eco_gcs1_t04763;eco_gcs1_t04765																	"
eco_gcs1_t03334	eco1252	sapA	b1294	16129255	"predicted	antimicrobial	peptide	transporter	subunit	"	"eco_gcs1_t03334;eco_gcs1_t03335														"
eco_gcs1_t01322	eco0529	rusA	b0550	16128533	"DLP12	prophage;	endonuclease	RUS	"	"eco_gcs1_t01322															"
eco_gcs1_t08621	eco3145	dusB	b3260	16131148	"tRNA-dihydrouridine	synthase	B	"	"eco_gcs1_t08621;eco_gcs1_t08622;eco_gcs1_t08620																"
eco_gcs1_t03728	eco1380	ydcH	b1426	90111271	"hypothetical	protein	"	"eco_gcs1_t03728;eco_gcs1_t03729																	"
eco_gcs1_t05055	eco1825	torY	b1873	16129826	"TMAO	reductase	III	(TorYZ),	cytochrome	c-type	subunit	"	"eco_gcs1_t05055;eco_gcs1_t05053;eco_gcs1_t05057;eco_gcs1_t05054;eco_gcs1_t05056												"
eco_gcs1_t07238	eco2619	hypF	b2712	16130619	"carbamoyl	phosphate	phosphatase	and	maturation	protein	for	[NiFe]	hydrogenases	"	"eco_gcs1_t07238;eco_gcs1_t07239										"
eco_gcs1_t02533	eco0958	torR	b0995	16128961	"DNA-binding	response	regulator	in	two-component	regulatory	system	with	TorS	"	"eco_gcs1_t02533;eco_gcs1_t02532;eco_gcs1_t02534										"
eco_gcs1_t05046	eco1824	torZ	b1872	90111350	"trimethylamine	N-oxide	reductase	system	III,	catalytic	subunit	"	"eco_gcs1_t05046;eco_gcs1_t05052;eco_gcs1_t05051;eco_gcs1_t05050;eco_gcs1_t05048;eco_gcs1_t05047;eco_gcs1_t05049												"
eco_gcs1_t02620	eco0990	ycdU	b1029	16128993	"predicted	inner	membrane	protein	"	"eco_gcs1_t02620;eco_gcs1_t02621;eco_gcs1_t02622;eco_gcs1_t02623;eco_gcs1_t02618;eco_gcs1_t02619															"
eco_gcs1_t06729	eco2422	purN	b2500	16130425	"phosphoribosylglycinamide	formyltransferase	"	"eco_gcs1_t06729																	"
eco_gcs1_t02230	eco0862	ycaN	b0900	16128867	"predicted	DNA-binding	transcriptional	regulator	"	"eco_gcs1_t02230;eco_gcs1_t02233;eco_gcs1_t02231;eco_gcs1_t02232;eco_gcs1_t02229;eco_gcs1_t02234															"
eco_gcs1_t00271	eco0120	cueO	b0123	16128116	"multicopper	oxidase	(laccase)	"	"eco_gcs1_t00271;eco_gcs1_t00269;eco_gcs1_t00270																"
eco_gcs1_t08989	eco3295	malP	b3417	49176351	"maltodextrin	phosphorylase	"	"eco_gcs1_t08989;eco_gcs1_t08985;eco_gcs1_t08983;eco_gcs1_t08991;eco_gcs1_t08987;eco_gcs1_t08982;eco_gcs1_t08990;eco_gcs1_t08988;eco_gcs1_t08986;eco_gcs1_t08984																	"
eco_gcs1_t04252	eco1549	ynfM	b1596	16129554	"predicted	transporter	"	"eco_gcs1_t04252;eco_gcs1_t04251;eco_gcs1_t04253																	"
eco_gcs1_t09659	eco3537	setC	b3659	16131529	"predicted	sugar	efflux	system	"	"eco_gcs1_t09659;eco_gcs1_t09657;eco_gcs1_t09654;eco_gcs1_t09656;eco_gcs1_t09658;eco_gcs1_t09655															"
eco_gcs1_t02256	eco0868	ycaP	b0906	16128873	"conserved	inner	membrane	protein	"	"eco_gcs1_t02256;eco_gcs1_t02254;eco_gcs1_t02257;eco_gcs1_t02255															"
eco_gcs1_t03460	eco1298	ydaM	b1341	90111253	"predicted	diguanylate	cyclase,	GGDEF	domain	signalling	protein	"	"eco_gcs1_t03460;eco_gcs1_t03464;eco_gcs1_t03463;eco_gcs1_t03459;eco_gcs1_t03461;eco_gcs1_t03462												"
eco_gcs1_t11294	eco4184	yjiT	b4342	90111736	"hypothetical	protein	"	"eco_gcs1_t11294;eco_gcs1_t11296;eco_gcs1_t11295;eco_gcs1_t11293;eco_gcs1_t11292;eco_gcs1_t11297																	"
eco_gcs1_t01467	eco0579	entA	b0596	16128579	"2,3-dihydroxybenzoate-2,3-dehydrogenase	"	"eco_gcs1_t01467																		"
eco_gcs1_t06564	eco2348	yfeT	b2427	16130352	"predicted	DNA-binding	transcriptional	regulator	"	"eco_gcs1_t06564;eco_gcs1_t06562;eco_gcs1_t06561;eco_gcs1_t06563															"
eco_gcs1_t09700	eco3552	emrD	b3673	90111634	"multidrug	efflux	system	protein	"	"eco_gcs1_t09700															"
eco_gcs1_t07854	eco2833	cmtB	b2934	16130835	"predicted	mannitol-specific	enzyme	IIA	component	of	PTS	"	"eco_gcs1_t07854;eco_gcs1_t07855;eco_gcs1_t07852;eco_gcs1_t07853												"
eco_gcs1_t08519	eco3108	yhcH	b3221	16131111	"hypothetical	protein	"	"eco_gcs1_t08519;eco_gcs1_t08517;eco_gcs1_t08518;eco_gcs1_t08520																	"
eco_gcs1_t11096	eco4108	idnO	b4266	16132088	"gluconate	5-dehydrogenase	"	"eco_gcs1_t11096;eco_gcs1_t11093;eco_gcs1_t11095;eco_gcs1_t11094																	"
eco_gcs1_t10722	eco3954	phnA	b4108	16131934	"hypothetical	protein	"	"eco_gcs1_t10722;eco_gcs1_t10721;eco_gcs1_t10723																	"
eco_gcs1_t05243	eco1903	yedI	b1958	16129904	"conserved	inner	membrane	protein	"	"eco_gcs1_t05243;eco_gcs1_t05242															"
eco_gcs1_t07367	eco2675	ygcP	b2768	16130675	"predicted	anti-terminator	regulatory	protein	"	"eco_gcs1_t07367;eco_gcs1_t07368;eco_gcs1_t07370;eco_gcs1_t07369															"
eco_gcs1_t07577	eco2744	araE	b2841	16130745	"arabinose	transporter	"	"eco_gcs1_t07577;eco_gcs1_t07576;eco_gcs1_t07578																	"
eco_gcs1_t06552	eco2341	yfeS	b2420	16130346	"hypothetical	protein	"	"eco_gcs1_t06552;eco_gcs1_t06551;eco_gcs1_t06553;eco_gcs1_t06550;eco_gcs1_t06549																	"
eco_gcs1_t06368	eco2290	torI	b4501	94541120	"response	regulator	inhibitor	for	tor	operon	"	"eco_gcs1_t06368;eco_gcs1_t06369													"
eco_gcs1_t02398	eco0908	ycbW	b0946	90111193	"hypothetical	protein	"	"eco_gcs1_t02398;eco_gcs1_t02397																	"
eco_gcs1_t01498	eco0590	ahpF	b0606	90111152	"alkyl	hydroperoxide	reductase,	F52a	subunit,	FAD/NAD(P)-binding	"	"eco_gcs1_t01498;eco_gcs1_t01497;eco_gcs1_t01496													"
eco_gcs1_t08320	eco3030	agaD	b3140	16131032	"N-acetylgalactosamine-specific	enzyme	IID	component	of	PTS	"	"eco_gcs1_t08320;eco_gcs1_t08319;eco_gcs1_t08321;eco_gcs1_t08318													"
eco_gcs1_t07874	eco2845	yggJ	b2946	90111515	"hypothetical	protein	"	"eco_gcs1_t07874;eco_gcs1_t07875																	"
eco_gcs1_t00068	eco0034	caiF	b0034	90111079	"DNA-binding	transcriptional	activator	"	"eco_gcs1_t00068;eco_gcs1_t00069																"
eco_gcs1_t06064	eco2172	yfaV	b2246	90111406	"predicted	transporter	"	"eco_gcs1_t06064;eco_gcs1_t06066;eco_gcs1_t06065;eco_gcs1_t06063																	"
eco_gcs1_t01439	eco0566	fepA	b0584	16128567	"iron-enterobactin	outer	membrane	transporter	"	"eco_gcs1_t01439;eco_gcs1_t01440;eco_gcs1_t01442;eco_gcs1_t01441;eco_gcs1_t01443															"
eco_gcs1_t02205	eco0852	ftsK	b0890	16128857	"DNA-binding	membrane	protein	required	for	chromosome	resolution	and	partitioning	"	"eco_gcs1_t02205;eco_gcs1_t02198;eco_gcs1_t02197;eco_gcs1_t02204;eco_gcs1_t02207;eco_gcs1_t02196;eco_gcs1_t02202;eco_gcs1_t02200;eco_gcs1_t02206;eco_gcs1_t02203;eco_gcs1_t02208;eco_gcs1_t02199;eco_gcs1_t02201										"
eco_gcs1_t08250	eco3006	tdcE	b3114	49176316	"pyruvate	formate-lyase	4/2-ketobutyrate	formate-lyase	"	"eco_gcs1_t08250;eco_gcs1_t08251;eco_gcs1_t08252															"
eco_gcs1_t05269	eco1912	yedX	b1970	16129916	"hypothetical	protein	"	"eco_gcs1_t05269;eco_gcs1_t05270;eco_gcs1_t05271																	"
eco_gcs1_t09105	eco3350	yhhT	b3474	90111597	"predicted	inner	membrane	protein	"	"eco_gcs1_t09105;eco_gcs1_t09106;eco_gcs1_t09107															"
eco_gcs1_t05494	eco1973	rfbA	b2039	16129979	"glucose-1-phosphate	thymidylyltransferase	"	"eco_gcs1_t05494;eco_gcs1_t05493;eco_gcs1_t05492;eco_gcs1_t05495;eco_gcs1_t05491																	"
eco_gcs1_t08492	eco3103	yhcA	b3215	16131105	"predicted	periplasmic	chaperone	protein	"	"eco_gcs1_t08492;eco_gcs1_t08490;eco_gcs1_t08493;eco_gcs1_t08494;eco_gcs1_t08491															"
eco_gcs1_t04416	eco1607	lhr	b1653	16129611	"predicted	ATP-dependent	helicase	"	"eco_gcs1_t04416;eco_gcs1_t04418;eco_gcs1_t04413;eco_gcs1_t04414;eco_gcs1_t04415;eco_gcs1_t04417																"
eco_gcs1_t09837	eco3603	bglG	b3723	16131591	"transcriptional	antiterminator	of	the	bgl	operon	"	"eco_gcs1_t09837;eco_gcs1_t09834;eco_gcs1_t09832;eco_gcs1_t09833;eco_gcs1_t09836;eco_gcs1_t09835													"
eco_gcs1_t03178	eco1198	ychE	b1242	16129203	"predicted	inner	membrane	protein	"	"eco_gcs1_t03178;eco_gcs1_t03176;eco_gcs1_t03177															"
eco_gcs1_t02820	eco1070	ycfS	b1113	16129076	"hypothetical	protein	"	"eco_gcs1_t02820;eco_gcs1_t02821																	"
eco_gcs1_t00401	eco0163	glnD	b0167	16128160	"PII	uridylyl-transferase	"	"eco_gcs1_t00401;eco_gcs1_t00398;eco_gcs1_t00400;eco_gcs1_t00399;eco_gcs1_t00402;eco_gcs1_t00403																	"
eco_gcs1_t02703	eco1019	pyrC	b1062	16129025	"dihydroorotase	"	"eco_gcs1_t02703;eco_gcs1_t02704;eco_gcs1_t02705																		"
eco_gcs1_t07961	eco2877	glcD	b2979	16130879	"glycolate	oxidase	subunit,	FAD-linked	"	"eco_gcs1_t07961;eco_gcs1_t07960;eco_gcs1_t07959															"
eco_gcs1_t08735	eco3198	rplC	b3320	16131199	"50S	ribosomal	protein	L3	"	"eco_gcs1_t08735;eco_gcs1_t08734															"
eco_gcs1_t11985	eco3026	agaS	b3136	16131028	"tagatose-6-phosphate	ketose/aldose	isomerase	"	"eco_gcs1_t11985;eco_gcs1_t11983;eco_gcs1_t11982;eco_gcs1_t11984;eco_gcs1_t11981;eco_gcs1_t11980																"
eco_gcs1_t05644	eco2025	gatZ	b2095	16130033	"D-tagatose	1,6-bisphosphate	aldolase	2,	subunit	"	"eco_gcs1_t05644;eco_gcs1_t05643;eco_gcs1_t05642;eco_gcs1_t05641;eco_gcs1_t05645														"
eco_gcs1_t08485	eco3102	gltF	b3214	16131104	"periplasmic	protein	"	"eco_gcs1_t08485;eco_gcs1_t08487;eco_gcs1_t08484;eco_gcs1_t08486;eco_gcs1_t08488;eco_gcs1_t08489																	"
eco_gcs1_t11535	eco0340	mhpE	b0352	16128337	"4-hydroxy-2-ketovalerate	aldolase	"	"eco_gcs1_t11535;eco_gcs1_t11537;eco_gcs1_t11534;eco_gcs1_t11536																	"
eco_gcs1_t04731	eco1720	ydjE	b1769	16129723	"predicted	transporter	"	"eco_gcs1_t04731;eco_gcs1_t04733;eco_gcs1_t04730;eco_gcs1_t04732;eco_gcs1_t04729																	"
eco_gcs1_t11736	eco1512	cspF	b1558	16129517	"Qin	prophage;	cold	shock	protein	"	"eco_gcs1_t11736;eco_gcs1_t11737														"
eco_gcs1_t02974	eco1123	ymgB	b1166	16129129	"hypothetical	protein	"	"eco_gcs1_t02974;eco_gcs1_t02976;eco_gcs1_t02975																	"
eco_gcs1_t04596	eco1670	infC	b1718	16129674	"translation	initiation	factor	IF-3	"	"eco_gcs1_t04596															"
eco_gcs1_t01218	eco0493	allB	b0512	16128496	"allantoinase	"	"eco_gcs1_t01218;eco_gcs1_t01216;eco_gcs1_t01217;eco_gcs1_t01219																		"
eco_gcs1_t05687	eco2040	yehC	b2110	16130048	"predicted	periplasmic	pilin	chaperone	"	"eco_gcs1_t05687;eco_gcs1_t05688;eco_gcs1_t05689;eco_gcs1_t05685;eco_gcs1_t05686															"
eco_gcs1_t11611	eco0721	galT	b0758	16128726	"galactose-1-phosphate	uridylyltransferase	"	"eco_gcs1_t11611;eco_gcs1_t11610;eco_gcs1_t11609;eco_gcs1_t11612;eco_gcs1_t11613																	"
eco_gcs1_t09204	eco3388	gadE	b3512	16131384	"DNA-binding	transcriptional	activator	"	"eco_gcs1_t09204;eco_gcs1_t09208;eco_gcs1_t09206;eco_gcs1_t09207;eco_gcs1_t09205																"
eco_gcs1_t03692	eco1369	hrpA	b1413	49176106	"ATP-dependent	helicase	"	"eco_gcs1_t03692;eco_gcs1_t03687;eco_gcs1_t03691;eco_gcs1_t03684;eco_gcs1_t03693;eco_gcs1_t03689;eco_gcs1_t03690;eco_gcs1_t03694;eco_gcs1_t03686;eco_gcs1_t03685;eco_gcs1_t03688																	"
eco_gcs1_t09968	eco3655	rfe	b3784	16131640	"UDP-GlcNAc:undecaprenylphosphate	GlcNAc-1-phosphate	transferase	"	"eco_gcs1_t09968;eco_gcs1_t09966;eco_gcs1_t09967																"
eco_gcs1_t06092	eco2181	yfbG	b2255	16130190	"hypothetical	protein	"	"eco_gcs1_t06092;eco_gcs1_t06091;eco_gcs1_t06090;eco_gcs1_t06094;eco_gcs1_t06089;eco_gcs1_t06096;eco_gcs1_t06095;eco_gcs1_t06093																	"
eco_gcs1_t06575	eco2354	yfeZ	b2433	90111434	"predicted	inner	membrane	protein	"	"eco_gcs1_t06575;eco_gcs1_t06574															"
eco_gcs1_t03358	eco1262	pspA	b1304	16129265	"regulatory	protein	for	phage-shock-protein	operon	"	"eco_gcs1_t03358;eco_gcs1_t03357														"
eco_gcs1_t04562	eco1654	pps	b1702	16129658	"phosphoenolpyruvate	synthase	"	"eco_gcs1_t04562;eco_gcs1_t04566;eco_gcs1_t04564;eco_gcs1_t04563;eco_gcs1_t04565																	"
eco_gcs1_t07908	eco2859	yggH	b2960	16130861	"tRNA(m7G46)-methyltransferase	"	"eco_gcs1_t07908																		"
eco_gcs1_t00584	eco0232	proA	b0243	16128229	"gamma-glutamyl	phosphate	reductase	"	"eco_gcs1_t00584;eco_gcs1_t00582;eco_gcs1_t00583																"
eco_gcs1_t01988	eco0770	ybiN	b0807	90111172	"predicted	SAM-dependent	methyltransferase	"	"eco_gcs1_t01988;eco_gcs1_t01987;eco_gcs1_t01989																"
eco_gcs1_t07299	eco2651	surE	b2744	16130651	"acid	phosphatase	"	"eco_gcs1_t07299;eco_gcs1_t07298																	"
eco_gcs1_t02274	eco0873	rpsA	b0911	16128878	"30S	ribosomal	protein	S1	"	"eco_gcs1_t02274;eco_gcs1_t02273;eco_gcs1_t02277;eco_gcs1_t02278;eco_gcs1_t02276;eco_gcs1_t02275															"
eco_gcs1_t11196	eco4150	yjhR	b4308	16132129	"KpLE2	phage-like	element;	predicted	frameshift	suppressor	"	"eco_gcs1_t11196;eco_gcs1_t11195;eco_gcs1_t11194;eco_gcs1_t11192;eco_gcs1_t11193													"
eco_gcs1_t09133	eco3364	yhiJ	b3488	16131360	"hypothetical	protein	"	"eco_gcs1_t09133;eco_gcs1_t09134;eco_gcs1_t09136;eco_gcs1_t09135;eco_gcs1_t09138;eco_gcs1_t09137																	"
eco_gcs1_t05507	eco1975	rfbB	b2041	16129981	"dTDP-glucose	4,6	dehydratase,	NAD(P)-binding	"	"eco_gcs1_t05507;eco_gcs1_t05503;eco_gcs1_t05504;eco_gcs1_t05505;eco_gcs1_t05506;eco_gcs1_t05502															"
eco_gcs1_t11794	eco2117	yejL	b2187	16130125	"hypothetical	protein	"	"eco_gcs1_t11794;eco_gcs1_t11793																	"
eco_gcs1_t07245	eco2622	ascF	b2715	49176263	"fused	cellobiose/arbutin/salicin-specific	PTS	enzymes:	IIB	component/IC	component	"	"eco_gcs1_t07245												"
eco_gcs1_t10858	eco4003	poxA	b4155	90111694	"lysyl-tRNA	synthetase	"	"eco_gcs1_t10858;eco_gcs1_t10857																	"
eco_gcs1_t08685	eco3165	fmt	b3288	16131167	"methionyl-tRNA	formyltransferase	"	"eco_gcs1_t08685																	"
eco_gcs1_t12121	eco3867	pepE	b4021	16131847	"peptidase	E	"	"eco_gcs1_t12121;eco_gcs1_t12123;eco_gcs1_t12122																	"
eco_gcs1_t02718	eco1023	rimJ	b1066	16129029	"ribosomal-protein-S5-alanine	N-acetyltransferase	"	"eco_gcs1_t02718;eco_gcs1_t02715;eco_gcs1_t02716;eco_gcs1_t02717																	"
eco_gcs1_t03261	eco1224	yciQ	b1268	16129229	"predicted	inner	membrane	protein	"	"eco_gcs1_t03261;eco_gcs1_t03258;eco_gcs1_t03257;eco_gcs1_t03255;eco_gcs1_t03260;eco_gcs1_t03256;eco_gcs1_t03262;eco_gcs1_t03259															"
eco_gcs1_t09821	eco3600	bglH	b3720	16131588	"carbohydrate-specific	outer	membrane	porin,	cryptic	"	"eco_gcs1_t09821;eco_gcs1_t09818;eco_gcs1_t09819;eco_gcs1_t09820														"
eco_gcs1_t08436	eco3079	yrbB	b3191	90111556	"hypothetical	protein	"	"eco_gcs1_t08436																	"
eco_gcs1_t04696	eco1706	ynjC	b1755	49176143	"fused	transporter	subunits	of	ABC	superfamily:	membrane	components	"	"eco_gcs1_t04696											"
eco_gcs1_t03852	eco1422	narZ	b1468	16129427	"nitrate	reductase	2	(NRZ),	alpha	subunit	"	"eco_gcs1_t03852;eco_gcs1_t03853;eco_gcs1_t03854													"
eco_gcs1_t00208	eco0097	secA	b0098	16128091	"translocase	"	"eco_gcs1_t00208;eco_gcs1_t00211;eco_gcs1_t00210;eco_gcs1_t00209;eco_gcs1_t00207																		"
eco_gcs1_t06149	eco2200	yfbN	b2273	16130208	"hypothetical	protein	"	"eco_gcs1_t06149;eco_gcs1_t06148;eco_gcs1_t06144;eco_gcs1_t06147;eco_gcs1_t06145;eco_gcs1_t06146																	"
eco_gcs1_t06311	eco2270	yfcZ	b2343	90111421	"hypothetical	protein	"	"eco_gcs1_t06311																	"
eco_gcs1_t04849	eco1753	yeaW	b1802	16129756	"predicted	2Fe-2S	cluster-containing	protein	"	"eco_gcs1_t04849;eco_gcs1_t04848;eco_gcs1_t04850															"
eco_gcs1_t08128	eco2945	yqiJ	b3050	16130946	"predicted	inner	membrane	protein	"	"eco_gcs1_t08128;eco_gcs1_t08125;eco_gcs1_t08126;eco_gcs1_t08124;eco_gcs1_t08127															"
eco_gcs1_t06327	eco2274	yfdC	b2347	16130280	"predicted	inner	membrane	protein	"	"eco_gcs1_t06327;eco_gcs1_t06325;eco_gcs1_t06326;eco_gcs1_t06328															"
eco_gcs1_t09491	eco3479	mtlR	b3601	16131472	"DNA-binding	repressor	"	"eco_gcs1_t09491																	"
eco_gcs1_t03562	eco1331	pinR	b1374	16129335	"Rac	prophage;	predicted	site-specific	recombinase	"	"eco_gcs1_t03562;eco_gcs1_t03560;eco_gcs1_t03563;eco_gcs1_t03561;eco_gcs1_t03565;eco_gcs1_t03564														"
eco_gcs1_t05814	eco2085	lysP	b2156	16130094	"lysine	transporter	"	"eco_gcs1_t05814;eco_gcs1_t05816;eco_gcs1_t05815;eco_gcs1_t05817																	"
